speciesCode,comName,sciName,locId,locName,obsDt,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory,howMany
gragoo,Graylag Goose,Anser anser,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
cangoo,Canada Goose,Branta canadensis,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,N,
mutswa,Mute Swan,Cygnus olor,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
norsho,Northern Shoveler,Spatula clypeata,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
gadwal,Gadwall,Mareca strepera,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
eurwig,Eurasian Wigeon,Mareca penelope,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
mallar3,Mallard,Anas platyrhynchos,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
gnwtea,Green-winged Teal,Anas crecca,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
compoc,Common Pochard,Aythya ferina,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
tufduc,Tufted Duck,Aythya fuligula,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
comgol,Common Goldeneye,Bucephala clangula,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
commer,Common Merganser,Mergus merganser,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,21.0
rudduc,Ruddy Duck,Oxyura jamaicensis,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,True,False,S77794352,N,15.0
grcgre1,Great Crested Grebe,Podiceps cristatus,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
cowpig1,Common Wood-Pigeon,Columba palumbus,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
watrai1,Water Rail,Rallus aquaticus,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,1.0
commoo3,Eurasian Moorhen,Gallinula chloropus,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
eurcoo,Eurasian Coot,Fulica atra,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
bkhgul,Black-headed Gull,Chroicocephalus ridibundus,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
mewgul,Common Gull,Larus canus,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,3.0
lbbgul,Lesser Black-backed Gull,Larus fuscus,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,2.0
grecor,Great Cormorant,Phalacrocorax carbo,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
grebit1,Great Bittern,Botaurus stellaris,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,1.0
graher1,Gray Heron,Ardea cinerea,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,3.0
eurmag1,Eurasian Magpie,Pica pica,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
carcro1,Carrion Crow,Corvus corone,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
blutit,Eurasian Blue Tit,Cyanistes caeruleus,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
lottit1,Long-tailed Tit,Aegithalos caudatus,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
eursta,European Starling,Sturnus vulgaris,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
redwin,Redwing,Turdus iliacus,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
eurbla,Eurasian Blackbird,Turdus merula,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
eurrob1,European Robin,Erithacus rubecula,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
houspa,House Sparrow,Passer domesticus,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
eurgol,European Goldfinch,Carduelis carduelis,L924161,Attenborough Nature Centre and NWT NR,2010-01-01 17:07,52.9010592,-1.2336016,True,False,False,S77794352,,
tunswa,Tundra Swan,Cygnus columbianus,L11276439,Wilne Road - England - GB (52.879 - -1.326),2010-01-01 17:05,52.8794479,-1.3264177,True,True,True,S77793902,,1.0
litowl1,Little Owl,Athene noctua,L11276439,Wilne Road - England - GB (52.879 - -1.326),2010-01-01 17:05,52.8794479,-1.3264177,True,False,True,S77793902,N,1.0
whwsco3,Velvet Scoter,Melanitta fusca,L13473294,Barrow Lodge,2010-01-01 16:30,53.838971,-2.3953128,True,True,True,S80792077,,1.0
combuz1,Common Buzzard,Buteo buteo,L21349995,Blunsdon,2010-01-01 16:15,51.6088876,-1.7899951,True,False,True,S121304827,,1.0
norhar1,Hen Harrier,Circus cyaneus,L4679742,Chat Moss,2010-01-01 16:05,53.4681669,-2.4301243,True,True,False,S79960603,,1.0
